Transaction ID,Date,Account Type,Category,Description,Debit Amount,Credit Amount,Balance,Department,Vendor/Client,Invoice Number,Payment Method
TXN10001,17-04-2023,Assets,Loans,Invoice payment,707,9613,8906,Finance,GOOGLE,2001,Cash
TXN10002,29-02-2024, Liabilities,Utilities,Invoice payment,3899,3914,15,Sales,SCEPTER,300,Bank Transfer
TXN10003,17-10-2023, Expenses,Utilities,Invoice payment,2147,2134,-13,HR,ASCEND,3666,Bank Transfer
TXN10004,12-09-2024, Revenue,Loans,Loan repayment,4384,9522,5138,Finance,GOOGLE,2478,Credit Card
TXN10005,11-11-2024, Liabilities,Sales Revenue,Invoice payment,3229,3815,586,Operations,PRIME-TECH,2313,Cash
TXN10006,06-12-2023, Revenue, Rent,Monthly payment,3181,3396,215,Finance,ASCEND,2345,Bank Transfer
TXN10007,13-10-2024, Expenses,Marketing,Invoice payment,1940,4858,2918,Sales,ASCEND,3968,Cash
TXN10008,12-10-2024,Assets,Marketing,Invoice payment,3799,7625,3826,Sales,SCEPTER,3220,Credit Card
TXN10009,04-04-2023, Expenses, Rent,Invoice payment,4518,9812,5294,Sales,PRIME-TECH,2881,Bank Transfer
TXN10010,19-11-2023, Liabilities,Payroll,Service charge,561,7213,6652,Operations,PRIME-TECH,2201,Bank Transfer
TXN10011,20-09-2023, Revenue,Marketing,Service charge,3116,4506,1390,Operations,ASCEND,2580,Credit Card
TXN10012,27-12-2024,Assets,Utilities,Invoice payment,1301,9323,8022,Operations,GOOGLE,3968,Credit Card
TXN10013,13-07-2023,Assets,Utilities,Loan repayment,1646,2387,741,Sales,ASCEND,2250,Cash
TXN10014,09-05-2023, Liabilities,Marketing,Invoice payment,2018,6006,3988,Finance,PRIME-TECH,3448,Bank Transfer
TXN10015,09-01-2024,Assets,Marketing,Service charge,422,3824,3402,Operations,GOOGLE,2002,Bank Transfer
TXN10016,19-01-2025,Assets, Rent,Service charge,597,2068,1471,Finance,GOOGLE,3018,Credit Card
TXN10017,10-01-2024, Revenue,Miscellaneous,Monthly payment,2934,6880,3946,Operations,GOOGLE,2694,Credit Card
